unit,attribute,tvd,mae_pp,max_abs_pp,seed_to_census_ratio,fit_rating,recommended_use
household,core_housing_need,0.0020707679935665427,0.20707679935665427,0.20707679935665496,27.633333333333333,strong,core_housing_need is well aligned and ready to report as a strong result.
household,core_housing_need,0.0020707679935665427,0.20707679935665427,0.20707679935665496,27.633333333333333,strong,core_housing_need is well aligned and ready to report as a strong result.
household,tenure,0.002152784017731446,0.2152784017731446,0.2152784017731446,27.793548387096774,strong,tenure is well aligned and ready to report as a strong result.
household,dwelling_type,0.002414954139092082,0.16099694260613878,0.2414954139092068,31.32,strong,dwelling_type is well aligned and ready to report as a strong result.
household,dwelling_type,0.00501235673649468,0.334157115766312,0.5012356736494666,24.60857142857143,strong,dwelling_type is well aligned and ready to report as a strong result.
household,tenure,0.005512999071494856,0.5512999071494856,0.5512999071494884,35.9,strong,tenure is well aligned and ready to report as a strong result.
household,tenure,0.00570494964645385,0.570494964645385,0.570494964645385,22.092307692307692,strong,tenure is well aligned and ready to report as a strong result.
household,dwelling_type,0.01039003386765678,0.692668924510452,1.03900338676568,36.65106382978723,strong,dwelling_type is well aligned and ready to report as a strong result.
household,dwelling_type,0.010689704230257866,0.7126469486838577,1.0689704230257835,24.261971830985914,strong,dwelling_type is well aligned and ready to report as a strong result.
household,dwelling_type,0.01238562862589562,0.825708575059708,1.2385628625895588,27.783870967741937,strong,dwelling_type is well aligned and ready to report as a strong result.
household,dwelling_type,0.012943225357018438,0.862881690467896,1.2943225357018417,22.968,strong,dwelling_type is well aligned and ready to report as a strong result.
household,dwelling_type,0.012943225357018438,0.862881690467896,1.2943225357018417,34.452,strong,dwelling_type is well aligned and ready to report as a strong result.
household,core_housing_need,0.013975529898328481,1.3975529898328483,1.397552989832851,29.607142857142858,strong,core_housing_need is well aligned and ready to report as a strong result.
household,household_type,0.015521917607388941,0.6208767042955576,1.5521917607388969,22.673684210526314,strong,household_type is well aligned and ready to report as a strong result.
household,tenure,0.016757115871033873,1.6757115871033874,1.67571158710339,29.71034482758621,strong,tenure is well aligned and ready to report as a strong result.
household,household_size,0.016800585672451962,0.6720234268980785,1.6800585672451962,22.092307692307692,strong,household_size is well aligned and ready to report as a strong result.
household,core_housing_need,0.017222283145081688,1.7222283145081687,1.72222831450817,37.68181818181818,strong,core_housing_need is well aligned and ready to report as a strong result.
household,core_housing_need,0.017222283145081688,1.7222283145081687,1.72222831450817,37.68181818181818,strong,core_housing_need is well aligned and ready to report as a strong result.
household,dwelling_type,0.018460466736328823,1.2306977824219216,1.846046673632884,29.7,strong,dwelling_type is well aligned and ready to report as a strong result.
household,core_housing_need,0.018737434660233233,1.8737434660233234,1.8737434660233254,27.633333333333333,strong,core_housing_need is well aligned and ready to report as a strong result.
household,tenure,0.02210904426923499,2.210904426923499,2.210904426923499,29.20677966101695,good,tenure is reasonably aligned and suitable for the main results with light caveats.
household,tenure,0.02216113028173894,2.216113028173894,2.216113028173894,25.719402985074627,good,tenure is reasonably aligned and suitable for the main results with light caveats.
household,dwelling_type,0.022640195053988166,1.5093463369325444,2.2640195053988177,52.2,good,dwelling_type is reasonably aligned and suitable for the main results with light caveats.
household,core_housing_need,0.022904101326899892,2.2904101326899893,2.2904101326899906,20.725,good,core_housing_need is reasonably aligned and suitable for the main results with light caveats.
household,dwelling_type,0.023957718110641638,1.5971812073761094,2.3957718110641624,24.965217391304346,good,dwelling_type is reasonably aligned and suitable for the main results with light caveats.
household,core_housing_need,0.02570700978421124,2.570700978421124,2.5707009784211254,26.317460317460316,good,core_housing_need is reasonably aligned and suitable for the main results with light caveats.
household,tenure,0.0263463324048282,2.63463324048282,2.63463324048282,23.933333333333334,good,tenure is reasonably aligned and suitable for the main results with light caveats.
household,core_housing_need,0.02658057191513518,2.658057191513518,2.6580571915135187,24.38235294117647,good,core_housing_need is reasonably aligned and suitable for the main results with light caveats.
household,dwelling_type,0.027234578958716917,1.8156385972477946,2.7234578958716886,27.34285714285714,good,dwelling_type is reasonably aligned and suitable for the main results with light caveats.
household,dwelling_type,0.02762676966081591,1.841784644054394,2.7626769660815897,21.80506329113924,good,dwelling_type is reasonably aligned and suitable for the main results with light caveats.
household,household_size,0.028338874412196326,1.133554976487853,2.6922904124359714,27.793548387096774,good,household_size is reasonably aligned and suitable for the main results with light caveats.
household,household_type,0.028657043977378213,1.1462817590951284,2.594538701781035,26.10909090909091,good,household_type is reasonably aligned and suitable for the main results with light caveats.
household,household_size,0.029184905159835496,1.1673962063934198,2.865101472343806,30.771428571428572,good,household_size is reasonably aligned and suitable for the main results with light caveats.
household,dwelling_type,0.029502152654862005,1.9668101769908002,2.950215265486201,35.155102040816324,good,dwelling_type is reasonably aligned and suitable for the main results with light caveats.
household,tenure,0.029776116574763645,2.9776116574763645,2.9776116574763645,35.16734693877551,good,tenure is reasonably aligned and suitable for the main results with light caveats.
household,dwelling_type,0.03021595262974574,2.014396841983049,3.0215952629745746,39.15,good,dwelling_type is reasonably aligned and suitable for the main results with light caveats.
household,tenure,0.030583620540421408,3.058362054042141,3.058362054042141,14.603389830508474,good,tenure is reasonably aligned and suitable for the main results with light caveats.
household,dwelling_type,0.03120283292697088,2.0801888617980584,3.1202832926970854,28.71,good,dwelling_type is reasonably aligned and suitable for the main results with light caveats.
household,dwelling_type,0.03120283292697088,2.0801888617980584,3.1202832926970854,47.85,good,dwelling_type is reasonably aligned and suitable for the main results with light caveats.
household,tenure,0.03134597528747951,3.134597528747951,3.134597528747951,26.51076923076923,good,tenure is reasonably aligned and suitable for the main results with light caveats.
household,dwelling_type,0.03216315762170495,2.1442105081136633,3.2163157621704963,36.65106382978723,good,dwelling_type is reasonably aligned and suitable for the main results with light caveats.
household,core_housing_need,0.03224295749662953,3.224295749662953,3.224295749662953,48.76470588235294,good,core_housing_need is reasonably aligned and suitable for the main results with light caveats.
